"isPartOf","stable_name"
"Journal of Educational Media, Memory & Society","Journal of Educational Media, Memory & Society"
"Internationale Schulbuchforschung","Journal of Educational Media, Memory & Society"
"Internationales Jahrbuch für Geschichts- und Geographie-Unterricht","Internationales Jahrbuch für Geschichts- und Geographie-Unterricht"
"Internationales Jahrbuch für Geschichtsunterricht","Internationales Jahrbuch für Geschichtsunterricht"
"The Journal of Educational Research","The Journal of Educational Research"
"The Journal of Educational Thought (JET) / Revue de la Pensée Éducative","The Journal of Educational Thought (JET) / Revue de la Pensée Éducative"
"The Journal of Experimental Education","The Journal of Experimental Education"
"Journal of Financial Education","Journal of Financial Education"
"Financial Education","Financial Education"
"The Journal of General Education","The Journal of General Education"
"The Journal of Higher Education","The Journal of Higher Education"
"Journal of Higher Education in Africa / Revue de l'enseignement supérieur en Afrique","Journal of Higher Education in Africa / Revue de l'enseignement supérieur en Afrique"
"Journal of Historical Research in Music Education","Journal of Historical Research in Music Education"
"The Bulletin of Historical Research in Music Education","Journal of Historical Research in Music Education"
"Journal of Legal Education","Journal of Legal Education"
"The Journal of Museum Education","The Journal of Museum Education"
"Roundtable Reports","The Journal of Museum Education"
"The Journal of Negro Education","The Journal of Negro Education"
"Journal of Real Estate Practice and Education","Journal of Real Estate Practice and Education"
"Journal of Research in Music Education","Journal of Research in Music Education"
"Journal of Science Education and Technology","Journal of Science Education and Technology"
"Journal of Science Teacher Education","Journal of Science Teacher Education"
"Journal of Elementary Science Education","Journal of Elementary Science Education"
"Journal of Social Work Education","Journal of Social Work Education"
"Journal of Education for Social Work","Journal of Social Work Education"
"Journal of Southeast Asian American Education & Advancement","Journal of Southeast Asian American Education & Advancement"
"The Journal of Technology Studies","The Journal of Technology Studies"
"The Journal of Epsilon Pi Tau","The Journal of Technology Studies"
"The Journal of the Learning Sciences","The Journal of the Learning Sciences"
"The Journal of the National Association of College Teachers of Agriculture","The Journal of the National Association of College Teachers of Agriculture"
"NACTA Newsletter","The Journal of the National Association of College Teachers of Agriculture"
"Journal of Thought","Journal of Thought"
"The Korean Language in America","The Korean Language in America"
"Language Arts","Language Arts"
"Elementary English","Language Arts"
"The Elementary English Review","Language Arts"
"Learning and Teaching: The International Journal of Higher Education in the Social Sciences","Learning and Teaching: The International Journal of Higher Education in the Social Sciences"
"Learning Disability Quarterly","Learning Disability Quarterly"
"Mathematics in School","Mathematics in School"
"The Mathematics Teacher","The Mathematics Teacher"
"Teaching Children Mathematics","Teaching Children Mathematics"
"Mathematics Teaching in the Middle School","Mathematics Teaching in the Middle School"
"The Arithmetic Teacher","Mathematics Teaching in the Middle School"
"Mathematics Teacher Educator","Mathematics Teacher Educator"
"Merrill-Palmer Quarterly","Merrill-Palmer Quarterly"
"Merrill-Palmer Quarterly of Behavior and Development","Merrill-Palmer Quarterly"
"Merrill-Palmer Quarterly (1954-1958)","Merrill-Palmer Quarterly"
"Middle School Journal","Middle School Journal"
"Mifgash: Journal of Social-Educational Work / מפגש לעבודה חינוכית-סוציאלית","Mifgash: Journal of Social-Educational Work / מפגש לעבודה חינוכית-סוציאלית"
"Minerva","Minerva"
"The Modern Language Journal","The Modern Language Journal"
"Monographs of the Society for Research in Child Development","Monographs of the Society for Research in Child Development"
"Music Educators Journal","Music Educators Journal"
"Music Supervisors' Journal","Music Educators Journal"
"Music Supervisors' Bulletin","Music Educators Journal"
"NACTA Journal","NACTA Journal"
"Oxford Review of Education","Oxford Review of Education"
"Peabody Journal of Education","Peabody Journal of Education"
"Pedagogy in Health Promotion","Pedagogy in Health Promotion"
"The Phi Delta Kappan","The Phi Delta Kappan"
"National News Letter of Phi Delta Kappa","The Phi Delta Kappan"
"Philanthropy & Education","Philanthropy & Education"
"Philosophy of Music Education Review","Philosophy of Music Education Review"
"Philosophy of Music Education Newsletter","Philosophy of Music Education Review"
"Professional School Counseling","Professional School Counseling"
"Elementary School Guidance & Counseling","Professional School Counseling"
"The School Counselor","The School Counselor"
"The Radical Teacher","The Radical Teacher"
"Reading Research Quarterly","Reading Research Quarterly"
"The Reading Teacher","The Reading Teacher"
"I.C.I.R.I. Bulletin","The Reading Teacher"
"Research and Teaching in Developmental Education","Research and Teaching in Developmental Education"
"Research in Higher Education","Research in Higher Education"
"Research in Outdoor Education","Research in Outdoor Education"
"Research in the Teaching of English","Research in the Teaching of English"
"Research Intelligence","Research Intelligence"
"Review of Educational Research","Review of Educational Research"
"Review of Research in Education","Review of Research in Education"
"Revista Española de Pedagogía","Revista Española de Pedagogía"
"Revue française de pédagogie","Revue française de pédagogie"
"RSA Journal","RSA Journal"
"Journal of the Royal Society of Arts","RSA Journal"
"The Journal of the Society of Arts","RSA Journal"
"Transactions of the Society, Instituted at London, for the Encouragement of Arts, Manufactures, and Commerce","Transactions of the Society, Instituted at London, for the Encouragement of Arts, Manufactures, and Commerce"
"Schools: Studies in Education","Schools: Studies in Education"
"Francis W. Parker School Studies in Education","Francis W. Parker School Studies in Education"
"Francis W. Parker School Year Book","Francis W. Parker School Year Book"
"Science and Children","Science and Children"
"Elementary School Science Bulletin","Science and Children"
"Science Scope","Science Scope"
"The Science Teacher","The Science Teacher"
"Second Language Research","Second Language Research"
"Interlanguage Studies Bulletin","Second Language Research"
"Sociology of Education","Sociology of Education"
"The Journal of Educational Sociology","Sociology of Education"
"Studies in Art Education","Studies in Art Education"
"Studies in Education / עיונים בחינוך","Studies in Education / עיונים בחינוך"
"Teacher Education Quarterly","Teacher Education Quarterly"
"California Journal of Teacher Education","Teacher Education Quarterly"
"Teaching & Learning Inquiry: The ISSOTL Journal","Teaching & Learning Inquiry: The ISSOTL Journal"
"Teaching Geography","Teaching Geography"
"Teaching History","Teaching History"
"Teaching Sociology","Teaching Sociology"
"TESOL Quarterly","TESOL Quarterly"
"Theory Into Practice","Theory Into Practice"
"Educational Research Bulletin","Theory Into Practice"
"Transformations: The Journal of Inclusive Scholarship and Pedagogy","Transformations: The Journal of Inclusive Scholarship and Pedagogy"
"Die Unterrichtspraxis / Teaching German","Die Unterrichtspraxis / Teaching German"
"Visual Arts Research","Visual Arts Research"
"Review of Research in Visual Arts Education","Visual Arts Research"
"Review of Research in Visual and Environmental Education","Visual Arts Research"
"The Writing Center Journal","The Writing Center Journal"
"YC Young Children","YC Young Children"
"Young Children","YC Young Children"
"The Journal of Nursery Education","YC Young Children"
"Bulletin of the National Association for Nursery Education","YC Young Children"
